year,cat,gat,10 years MA CAT,10 years MA GAT
1825,27.11,8.39,,
1826,,8.36,,
1827,,8.81,,
1828,,8.17,,
1829,,7.94,,
1830,,8.52,,
1831,,7.64,,
1832,,7.45,,
1833,,8.01,,
1834,,8.15,27.11,8.144
1835,,7.39,,8.044
1836,,7.7,,7.978
1837,,7.38,,7.835
1838,,7.51,,7.769
1839,26.69,7.63,26.69,7.738
1840,26.63,7.8,26.66,7.666
1841,27.02,7.69,26.78,7.671
1842,26.87,8.02,26.8025,7.728
1843,26.94,8.17,26.83,7.744
1844,26.41,7.65,26.76,7.694
1845,26.12,7.85,26.66857143,7.74
1846,26.94,8.55,26.7025,7.825
1847,26.41,8.09,26.67,7.896
1848,,7.98,26.67,7.943
1849,,7.98,26.6675,7.978
1850,26.65,7.9,26.67,7.988
1851,26.82,8.18,26.645,8.037
1852,26.7,8.1,26.62375,8.045
1853,26.87,8.04,26.615,8.032
1854,26.89,8.21,26.675,8.088
1855,26.76,8.11,26.755,8.114
1856,26.53,8,26.70375,8.059
1857,26.51,7.76,26.71625,8.026
1858,26.83,8.1,26.72888889,8.038
1859,26.88,8.25,26.744,8.065
1860,26.69,7.96,26.748,8.071
1861,26.58,7.85,26.724,8.038
1862,24.85,7.56,26.539,7.984
1863,26.67,8.11,26.519,7.991
1864,26.52,7.98,26.482,7.968
1865,26.89,8.18,26.495,7.975
1866,26.84,8.29,26.526,8.004
1867,26.86,8.44,26.561,8.072
1868,27.06,8.25,26.584,8.087
1869,26.64,8.43,26.56,8.105
1870,26.51,8.2,26.542,8.129
1871,26.54,8.12,26.538,8.156
1872,26.87,8.19,26.74,8.219
1873,26.95,8.35,26.768,8.243
1874,27.03,8.43,26.819,8.288
1875,26.52,7.86,26.782,8.256
1876,26.4,8.08,26.738,8.235
1877,27.15,8.54,26.767,8.245
1878,27.44,8.83,26.805,8.303
1879,26.76,8.17,26.817,8.277
1880,26.75,8.12,26.841,8.269
1881,26.89,8.27,26.876,8.284
1882,26.84,8.13,26.873,8.278
1883,26.67,7.98,26.845,8.241
1884,26.4,7.77,26.782,8.175
1885,26.87,7.92,26.817,8.181
1886,26.65,7.95,26.842,8.168
1887,26.34,7.91,26.761,8.105
1888,27.04,8.09,26.721,8.031
1889,27.12,8.32,26.757,8.046
1890,26.72,7.97,26.754,8.031
1891,26.93,8.02,26.758,8.006
1892,26.36,8.07,26.71,8
1893,26.38,8.06,26.681,8.008
1894,26.59,8.16,26.7,8.047
1895,26.91,8.15,26.704,8.07
1896,26.94,8.21,26.733,8.096
1897,27.39,8.29,26.838,8.134
1898,26.77,8.18,26.811,8.143
1899,26.7,8.4,26.769,8.151
1900,27.24,8.5,26.821,8.204
1901,26.94,8.54,26.822,8.256
1902,26.92,8.3,26.878,8.279
1903,27.06,8.22,26.946,8.295
1904,26.73,8.09,26.96,8.288
1905,27.32,8.23,27.001,8.296
1906,27.26,8.38,27.033,8.313
1907,26.95,7.95,26.989,8.279
1908,26.77,8.19,26.989,8.28
1909,26.96,8.18,27.015,8.258
1910,26.98,8.22,26.989,8.23
1911,27.28,8.18,27.023,8.194
1912,27.56,8.17,27.087,8.181
1913,26.92,8.3,27.073,8.189
1914,27.31,8.59,27.131,8.239
1915,27.32,8.59,27.131,8.275
1916,26.52,8.23,27.057,8.26
1917,26.54,8.02,27.016,8.267
1918,26.7,8.13,27.009,8.261
1919,27.33,8.38,27.046,8.281
1920,27.08,8.36,27.056,8.295
1921,26.82,8.57,27.01,8.334
1922,27.08,8.41,26.962,8.358
1923,26.98,8.42,26.968,8.37
